Conventions,G,BADC-CSV,1,,,,,,,,,,,,,,,,,,
04/01/1980 05:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 06:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 07:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 08:00,DCNN,1280,1,1,MODLERAD,163,2001,4,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 09:00,DCNN,1280,1,1,MODLERAD,163,2001,191,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 10:00,DCNN,1280,1,1,MODLERAD,163,2001,410,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 11:00,DCNN,1280,1,1,MODLERAD,163,2001,562,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 12:00,DCNN,1280,1,1,MODLERAD,163,2001,562,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 13:00,DCNN,1280,1,1,MODLERAD,163,2001,378,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 14:00,DCNN,1280,1,1,MODLERAD,163,2001,72,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 15:00,DCNN,1280,1,1,MODLERAD,163,2001,11,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 16:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 17:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 18:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 19:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 20:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 21:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 22:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
